Plot,TreeID,Tag,Species,X,Y,DBH_89,DBH_04,DBH_18,Dia_89_04,Dia_04_18,Dia_dif,NDI_89_live,NDI_89_consp,NDI_89_mort,NDI_89_propconsp,NDI_89_propmort,NDI_04_live,NDI_04_consp,NDI_04_mort,NDI_04_propconsp,NDI_04_propmort,Slope,TPI
B2,FRB2000100431,443,PICO,425740.252,4417816.772,12.4,12.2,13.2,-0.013333333,0.071428571,0.084761905,1.167031469,1.15338484,0.115816463,0.988306546,0.099240223,1.136053187,1.067783038,0.807791854,0.939905851,0.711051088,7.919070721,-0.029926095
B2,FRB2000100460,473,PICO,425740.573,4417803.103,34.8,36.2,NA,0.093333333,NA,NA,0.783426572,0.783426572,0.217010216,1,0.277001348,NA,NA,NA,NA,NA,6.988652706,0.028409651
B2,FRB2000100464,477,PICO,425737.508,4417805.746,33.4,33.6,NA,0.013333333,NA,NA,0.716588774,0.716588774,0.20067921,1,0.280047941,NA,NA,NA,NA,NA,8.624139786,0.045078988
B2,FRB2000100465,478,PICO,425733.965,4417802.074,30.7,31.2,31.8,0.033333333,0.042857143,0.00952381,0.683790525,0.673923276,0.045944561,0.985569779,0.067190987,0.95770851,0.906896389,0.707612255,0.946944065,0.738859734,8.271467209,0.02589816
B2,FRB2000100466,479,PICO,425737.427,4417793.607,31.8,33.4,NA,0.106666667,NA,NA,0.635790508,0.594405347,0.014119878,0.93490755,0.022208382,NA,NA,NA,NA,NA,7.459266186,0.041513918
B2,FRB2000100467,480,PICO,425733.983,4417794.962,36.5,37.2,NA,0.046666667,NA,NA,0.700127802,0.678356356,0.039926328,0.968903612,0.0570272,NA,NA,NA,NA,NA,7.225274563,0.096756703
B2,FRB2000100468,481,PICO,425732.141,4417799.303,24,24.7,NA,0.046666667,NA,NA,0.830233058,0.78953244,0.044014283,0.950976877,0.053014371,NA,NA,NA,NA,NA,8.151249886,0.032064829
B2,FRB2000100469,482,PICO,425726.936,4417802.263,27.3,28.7,NA,0.093333333,NA,NA,0.84346105,0.785066379,0.146830554,0.930767791,0.174081013,NA,NA,NA,NA,NA,9.361886978,0.111524516
B2,FRB2000100470,483,PICO,425728.334,4417798.842,29.6,29.9,NA,0.02,NA,NA,0.872643883,0.810115996,0.071900337,0.928346616,0.082393675,NA,NA,NA,NA,NA,8.542707443,0.04431807
B2,FRB2000100472,485,PICO,425730.825,4417794.704,18.6,19.3,21.8,0.046666667,0.178571429,0.131904762,0.945414282,0.863959137,0.058638933,0.91384185,0.06202459,1.163077274,1.003860507,0.803089997,0.863107318,0.690487223,8.71292305,0.147604187
