Plot,X,Y,grow_BA_89_04,grow_BA_04_18,grow_BA_dif,ingrow_stems_89_04,ingrow_stems_04_18,ingrow_stems_dif,live_BA_89,live_BA_04,live_stems_89,live_stems_04,live_BA_LS_89,live_BA_LS_04,surv_BA_89,surv_BA_04,surv_stems_89,surv_stems_04,surv_BA_LS_89,surv_BA_LS_04,mort_BA_89_04,mort_BA_04_18,live_BA_LS_89_prop,live_BA_LS_04_prop,surv_BA_LS_89_prop,surv_BA_LS_04_prop,mort_BA_89_04_prop,mort_BA_04_18_prop,Slope,TPI
C3,426566.193,4417440.438,0.222089657,0.455502885,0.233413228,1,3,2,17.15348859,21.17881125,5,6,2.380384754,4.492870194,17.15348859,6.036334664,5,4,2.380384754,4.492870194,0,15.14247659,0.138769717,0.212139867,0.138769717,0.744304357,0,0.714982366,6.934274197,0.144783862
C3,426576.193,4417440.438,0.155618792,0.447071075,0.291452282,3,2,-1,20.2687704,11.40830102,8,7,7.659674128,7.641452891,6.435002772,11.40830102,4,7,2.905109267,7.641452891,13.83376763,0,0.37790522,0.669815153,0.451454237,0.669815153,0.682516372,0,6.535245419,-0.063209317
C3,426586.193,4417440.438,0.519347154,0.416749095,-0.102598058,0,2,2,87.37295386,49.35960422,14,10,14.81205958,21.15674157,41.56939691,21.15674157,10,8,14.81205958,21.15674157,45.80355695,28.20286265,0.169526826,0.428624619,0.356321253,1,0.524230382,0.571375381,11.14406586,-0.216411795
C3,426596.193,4417440.438,0.175505074,0.401102842,0.225597768,3,4,1,58.03338445,24.2124902,11,10,5.984655465,10.11789184,19.39061672,14.75558946,7,9,5.984655465,10.11789184,38.64276774,9.456900746,0.103124357,0.417879027,0.308636675,0.685698926,0.665871345,0.390579435,9.866455078,-0.185854939
C3,426606.193,4417440.438,0.07092669,0.202010018,0.131083327,3,4,1,19.00498622,22.6226087,3,6,0.833228912,4.006394571,19.00498622,4.006394571,3,4,0.833228912,4.006394571,0,18.61621413,0.043842648,0.177096931,0.043842648,1,0,0.822903069,14.0888195,-0.548211227
C3,426616.193,4417440.438,0.299948795,0.395577005,0.09562821,0,4,4,68.59062803,50.56550456,9,7,15.94106944,18.62940882,46.06627264,18.62940882,7,3,15.94106944,18.62940882,22.52435539,31.93609574,0.232408857,0.368421298,0.346046436,1,0.328388237,0.631578702,12.55943012,-0.268004023
C3,426496.193,4417430.438,0.191888479,0.309071007,0.117182528,2,1,-1,45.59063551,37.35903444,8,8,0,0,32.69243417,9.361631948,6,5,0,0,12.89820134,27.99740249,0,0,0,0,0.282913392,0.74941451,8.170785904,-0.016084785
C3,426506.193,4417430.438,0.110348442,0.245700595,0.135352153,0,0,0,11.70101892,5.363955297,3,2,2.688025214,3.596809429,3.708728667,5.363955297,2,2,2.688025214,3.596809429,7.992290251,0,0.229725739,0.670551716,0.724783465,0.670551716,0.683042247,0,9.243660927,0.219239051
C3,426516.193,4417430.438,0.218995188,0.131273693,-0.087721495,1,1,0,23.32114183,27.48854302,4,5,1.452672443,2.1382465,23.32114183,2.1382465,4,1,1.452672443,2.1382465,0,25.35029652,0.062289936,0.077786826,0.062289936,1,0,0.922213174,9.075217247,-0.057601784
C3,426526.193,4417430.438,0.234226676,0.219625376,-0.0146013,0,0,0,53.25250875,51.41569807,9,8,0,0,47.90229792,6.850949639,8,3,0,0,5.350210829,44.56474843,0,0,0,0,0.100468709,0.866753737,7.884676933,-0.012138487
C3,426536.193,4417430.438,0.225435453,0.256230541,0.030795088,0,0,0,43.10131603,46.48284782,10,10,0,0,43.10131603,8.756639743,10,6,0,0,0,37.72620808,0,0,0,0,0,0.811615679,5.221158504,-0.038295421
C3,426546.193,4417430.438,0.161231771,0.286917169,0.125685398,0,1,1,48.44210208,33.1341421,9,7,0,0,30.71566553,5.957716308,7,3,0,0,17.72643655,27.17642579,0,0,0,0,0.365930374,0.820194038,8.016936302,-0.001923089
C3,426556.193,4417430.438,0.205983758,0.288044776,0.082061018,0,0,0,44.47105043,26.51841921,7,5,7.03481135,9.155936169,23.42866283,3.958485283,5,2,7.03481135,3.17308712,21.04238759,22.55993393,0.158188558,0.345267042,0.300265167,0.801591238,0.473170465,0.850726951,9.918306351,-0.012292519
C3,426566.193,4417430.438,0.439398856,0.190565644,-0.248833212,0,2,2,86.97687757,86.30952475,8,7,11.76282975,15.55284713,79.7185419,10.12229007,7,1,11.76282975,0,7.258335667,76.18723468,0.135240883,0.180198503,0.147554502,0,0.083451325,0.882721054,6.901923656,0.072390391
C3,426576.193,4417430.438,0.335888615,0.465185722,0.129297108,0,0,0,40.23932512,45.27765434,5,5,12.48099783,16.24863136,40.23932512,16.24863136,5,2,12.48099783,16.24863136,0,29.02902298,0.310169164,0.358866456,0.310169164,1,0,0.641133544,7.160270214,0.002648579
C3,426586.193,4417430.438,0.209329554,0.378769484,0.16943993,1,1,0,13.59987606,17.55694762,4,5,3.905706527,6.75670186,13.59987606,12.56935513,4,4,3.905706527,6.75670186,0,4.987592497,0.287186921,0.384844906,0.287186921,0.537553581,0,0.284080844,6.829242229,0.160373435
C3,426596.193,4417430.438,0.066559876,0.303253451,0.236693575,2,4,2,47.95484106,27.32588706,7,7,0,1.768873744,24.55861517,6.98745184,5,4,0,1.768873744,23.39622589,20.33843522,0,0.064732528,0,0.253150044,0.487880376,0.744291857,9.435081482,0.239615167
